USING TEXT CLASSIFICATION WITH A BAYESIAN CORRECTION FOR ESTIMATING OVERREPORTING IN THE CREDITOR REPORTING SYSTEM ON CLIMATE ADAPTATION FINANCE,Climate Change Adaptation,Climate Change Adaptation,Climate Finance (impact and thematic investments),Climate Finance (impact and thematic investments),2211.16947
,"The mention of climate science as a potential domain where irregularly sampled time series data occurs suggests that the network could be applied in climate science, even though it is not the focus of the current study.","This paper is a technical one usisng ""RAINDROP to classify time series and interpret temporal dynamics on three healthcare and human activity datasets."". Climate science is briefly mentionned att the beginning of the paper. ""In many domains, including healthcare, biology, and climate science [...]"". Nevertheless, the introduction doesn't mention it anymore. ""Multivariate time series are prevalent in a variety of domains, including healthcare, space science, cyber security, biology, and finance [...]"". Climate-related topics are not central. ","Though not prominently featured or the primary subject, the paper implies potential applications for climate science in modeling or predictions due to its capabilities in handling time series data, which is essential in climate modeling.","This paper is a technical one usisng ""RAINDROP to classify time series and interpret temporal dynamics on three healthcare and human activity datasets."". Climate science is briefly mentionned att the beginning of the paper. ""In many domains, including healthcare, biology, and climate science [...]"". Nevertheless, the introduction doesn't mention it anymore. ""Multivariate time series are prevalent in a variety of domains, including healthcare, space science, cyber security, biology, and finance [...]"". Climate-related topics are not central. ",
Intervening With Confidence: Conformal Prescriptive Monitoring of Business Processes,N/A,N/A,N/A,N/A,2212.03710
"The paper discusses a method to improve prescriptive process monitoring by incorporating conformal predictions, which provide confidence guarantees. The goal is to optimize interventions in business processes by ensuring interventions are executed with high confidence of success, thereby conserving limited resources. The method is empirically evaluated using public datasets.",The paper primarily focuses on business process optimization using machine learning techniques and does not address themes directly related to climate or ecologically-related sustainable development.,,There is no sub-category under the predefined sustainable development categories that matches the paper's focus on business process optimization through machine learning.,,
,N/A,N/A,N/A,N/A,
,The content of the paper remains focused on machine learning for business processes without diverging into sustainable development topics.,,"The paper does not touch upon any secondary sub-categories related to climate or ecologically-related sustainable development, sticking solely to business and machine learning applications.",,
Knowledge Sharing via Domain Adaptation in Customs Fraud Detection,N/A,N/A,N/A,N/A,2201.06759
"The paper presents a system called DAS for enhancing customs fraud detection across countries by sharing knowledge through domain adaptation. DAS employs a memory bank platform to enable multi-national customs administrations to share and utilize transferable knowledge of trade frauds. The system enhances fraud detection at the national level by refining local models with shared prototypes, thereby addressing infrastructure limitations in participating countries and improving the detection of illicit trades.",The paper focuses on enhancing customs fraud detection through domain adaptation and does not directly address any particular aspect of climate or ecologically-related sustainable development.,,"There is no specific sub-category for climate or ecologically-related sustainable development within the paper's scope, as it is primarily concerned with the mechanics of fraud detection through shared knowledge.",,
,,N/A,,N/A,
,,,,,
Learning Bimanual Scooping Policies for Food Acquisition,N/A,N/A,N/A,N/A,2211.14652
This paper introduces a robotic feeding system called CARBS that uses a bimanual scooping primitive to effectively acquire varied food items. The system identifies high-risk foods and adapts its strategy to minimize food breakage and waste during scooping. The study emphasizes the role of a secondary arm to stabilize diverse food items and presents experimental results on various food geometries and deformabilities.,The paper does not address any of the Climate or Ecologically-Related Sustainable Development categories directly. It primarily deals with robotics and human assistance systems.,,"Given that the primary theme does not align with any climate-related sub-categories, it does not fit any listed sub-categories.",,
,N/A,N/A,N/A,N/A,
,The paper does not touch upon any secondary sustainable development categories related to climate or ecology. Its themes are centered around robotics and assisted living.,,The focus on robotics and human assistance does not overlap with secondary climate-related sub-categories.,,
Machine and Deep Learning Methods with Manual and Automatic Labelling for News Classification in Bangla Language,N/A,N/A,N/A,N/A,2210.10903
"This paper introduces various machine and deep learning methods for news classification in the Bangla language, employing both manual and automatic labelling systems. It explores several machine learning algorithms like Logistic Regression and Support Vector Machine, as well as deep learning algorithms such as LSTM and CNN. The study involves developing Potrika, a comprehensive dataset for news classification in Bangla, evaluating manual vs automatic labelling, and addressing the challenges in Automatic Labelling using LDA for single and multi-label classification.","The paper does not address any aspect of climate or ecologically-related sustainable development, either directly or indirectly.",,"There is no sub-category within climate or ecological sustainability that this paper fits into, as its focus is on NLP for news classification.",,
,N/A,N/A,N/A,N/A,
,"Since the primary theme is not related to sustainable development, there are no secondary climate-related categories applicable to this paper.",,"As the paper does not touch upon sustainable development themes, there are no relevant sub-categories applicable here.",,
Methodical Advice Collection and Reuse in Deep Reinforcement Learning,N/A,N/A,N/A,N/A,2204.07254
"This paper discusses the challenges of sample-inefficiency in deep reinforcement learning (RL) and proposes a teacher-student framework to improve learning efficiency. The work introduces dual uncertainty-based advice collection and reuse methods, using a secondary neural network to compute uncertainty. Empirical results demonstrate improved performance in Atari games using this framework.",The central theme is improving RL algorithms' efficiency rather than addressing specific climate or ecological issues.,,"Since the paper does not align with any of the predefined climate or ecologically-related sub-categories, it is marked as N/A.",,
,N/A,N/A,N/A,N/A,
,No secondary themes related to climate or ecological sustainable development are present. The paper revolves around RL techniques rather than specific environmental applications or concerns.,,"There are no secondary sub-categories related to climate or ecological themes, as the focus is on improving RL methodologies.",,
Multi-Agent Deep Reinforcement Learning for Cost- and Delay-Sensitive Virtual Network Function Placement and Routing,N/A,N/A,N/A,N/A,2206.12146
The paper proposes a multi-agent deep reinforcement learning (MADRL)-based method for joint virtual network function (VNF) placement and routing to minimize service delay and resource consumption cost while accommodating differentiated user demands. The approach is designed to enhance network resource allocation efficiency by applying the deep deterministic policy gradient method in a multi-agent setting.,The paper's focus on network optimization through VNF placement and routing does not fit neatly into any predefined climate or ecologically-related sustainable development categories or sub-categories. It revolves around network efficiencies rather than direct ecological impacts or climate actions.,,"Similarly, the sub-category alignment is not applicable because the paper does not directly address goals like renewable energy optimization, emissions reduction, biodiversity, etc. The subtopics discussed within the paper concern technical optimizations within network virtualization contexts.",,
,N/A,N/A,N/A,N/A,
,"There are no supporting details in the paper that directly connect it to other sustainable development categories. The focus remains on network function virtualization and optimization, which is not explicitly aligned with secondary Climate or Ecologically-Related Sustainable Development themes.",,"As the primary category and sub-category are not applicable, there are no secondary connections to climate or ecologically-related sustainable development fields. The paper's context is specific to machine learning advancements in network technology.",,
Multimodal Transformer-based Model for Buchwald-Hartwig and Suzuki-Miyaura Reaction Yield Prediction,N/A,N/A,N/A,N/A,2204.14062
"The paper explores the prediction of chemical reaction yields using a multimodal model that incorporates both SMILES notation and chemical descriptors. By employing a bidirectional transformer encoder and multi-layer perceptron, the model aims to optimize reaction conditions with minimal wet-lab experimentation. The study shows improvements in yield prediction on high throughput experimentation datasets for Buchwald–Hartwig and Suzuki–Miyaura reactions and demonstrates the model's ability to suggest optimal reaction conditions efficiently.","The primary focus of the paper is on chemical reaction yield prediction using machine learning models. It does not directly address climate change, ecological sustainability, or any of the provided sustainable development categories.",,None of the specific sub-categories related to climate or ecologically-related sustainable development are addressed in the paper since its main focus is on chemical reaction optimization.,,
,N/A,N/A,N/A,N/A,
,The paper does not explicitly cover secondary sustainable development themes related to climate or ecological sustainability.,,The paper does not contribute to any secondary sub-category related to sustainable development.,,
,,,,,
,,,,,
PILoT: Planning Immediate Landmarks of Targets for Model-Free Skill Transfer Across Agents,N/A,N/A,N/A,N/A,2212.09033
"The paper introduces PILoT, a framework to facilitate knowledge transfer across different reinforcement learning agents without retraining them from scratch, focusing on the application in robotics and navigation tasks. By identifying immediate landmarks or goals, PILoT can work across various tasks and different agent dynamics while offering a universal solution for skill transfer. The experiments show applications in few-shot transfer learning across action spaces and dynamics and zero-shot transfer across different environments.","The paper focuses on methodologies in reinforcement learning, primarily for transferring skills between agents in varied contexts. It does not tie these methodologies to climate or ecological benefits or measures.",,"There is no specific application of the discussed methods in defined areas such as renewable energy, carbon capture, or biodiversity monitoring that fit into any ecological sub-category specifically outlined for sustainable development.",,
,N/A,N/A,N/A,N/A,
,No secondary categories pertaining to climate or ecological sustainable development can be identified since the paper doesn't leverage RL methods for any specific climate-related applications.,,"The technical content, although related to optimization and efficiency, does not further specify uses in domains directly relating to environmental categories listed.",,
,,,,,
,,,,,
Personality Detection of Applicants And Employees Using K-mode Algorithm And Ocean Model,N/A,N/A,N/A,N/A,2212.14675
The paper discusses a model for detecting personality types of applicants and employees using the K-mode algorithm and the OCEAN model to enhance recruitment and employee management processes. It emphasizes analyzing video interviews and survey responses to improve selection processes in human resources by predicting personality traits and assessing individual work performance.,The paper does not directly relate to any climate or ecologically-related sustainable development categories since it primarily focuses on personality detection in HR processes.,,The focus of the paper on HR and personality detection does not fit within the listed sustainable development sub-categories related to climate or ecology.,,
,N/A,N/A,N/A,N/A,
,There is no indication that the paper addresses secondary themes related to climate or ecological sustainability.,,There is no secondary focus on climate or ecology that warrants a sub-category classification.,,
Pseudo AI Bias,N/A,N/A,N/A,N/A,2210.08141
"The paper discusses the concept of pseudo AI bias (PAIB), which includes misunderstandings, pseudo-mechanical bias, and over-expectations of AI. It emphasizes the negative impact of PAIB on society, such as exacerbating inequities, generating social fear of AI, and wasting resources invested in AI technology. The study reviews literature to conceptualize PAIB, presents its types, impacts, and proposes solutions to address them to improve AI's societal trust and application.",The paper does not focus on climate or ecologically-related sustainable development areas. Its main theme revolves around biases in AI technology.,,The sub-categories related to climate or ecological topics do not apply to this paper as it explores AI bias.,,
,N/A,N/A,N/A,N/A,
,The paper's themes do not engage with specific climate or ecological sustainability topics.,,No secondary sub-categories related to climate or ecological sustainability are discussed in the paper.,,
Research Note on Uncertain Probabilities and Abstract Argumentation,N/A,N/A,N/A,N/A,2208.10932
"This paper discusses the formal account of uncertain probabilities in abstract argumentation settings, with a focus on probabilistic inference using distribution semantics. It explores the application of beta distributions to represent epistemic and aleatory uncertainty in argumentation frameworks and compares different approaches for probabilistic evaluations.",The paper does not primarily focus on Climate or Ecologically-Related Sustainable Development themes but rather on theoretical aspects of probabilistic argumentation.,,No specific sub-category aligns with the content as the paper is theoretical and not directly related to sustainability applications.,,
,N/A,N/A,N/A,N/A,
,No secondary Climate or Ecologically-Related Sustainable Development categories are relevant as the paper is focused on abstract argumentation.,,No secondary sub-categories apply as the content remains theoretical and not related to direct environmental applications.,,
Revisiting Some Common Practices in Cooperative Multi-Agent Reinforcement Learning,N/A,N/A,N/A,N/A,2206.07505
"The paper examines cooperative multi-agent reinforcement learning (MARL) focusing on value decomposition and parameter sharing. It critiques these common practices under certain conditions and proposes the potential benefits of policy gradient methods. The theoretical insights are backed by empirical tests in various test domains, including matrix games and complex benchmarks like StarCraft and Google Research Football, aiming to improve MARL algorithm effectiveness.",The paper does not focus on climate or ecologically-related sustainable development. Its focus is on improving theoretical approaches in reinforcement learning.,,No sub-category of climate or ecological relevance is addressed as the paper's focus is purely on the methodological improvements for MARL.,,
,N/A,N/A,N/A,N/A,
,The paper does not address any secondary themes related to climate or ecological sustainability as it is primarily focused on MARL methodologies.,,"No secondary sub-category related to climate or ecological matters is present, given the paper's focus.",,
Routine Outcome Monitoring in Psychotherapy Treatment using Sentiment-Topic Modelling Approach,N/A,N/A,N/A,N/A,2212.08111
The paper presents a method for monitoring the progress of psychotherapy sessions using a computational model called Dynamic Joint-Sentiment-Topic Model (dJST). This method aims to track patient sentiment and topic trends throughout therapy to enhance treatment outcomes.,The content of the paper is focused on psychotherapy and is not related to Climate or Ecologically-Related Sustainable Development topics.,,The paper does not fit into any predefined Climate or Ecologically-Related Sustainable Development sub-categories.,,
,N/A,N/A,N/A,N/A,
,There are no secondary themes that relate to Climate or Ecologically-Related Sustainable Development in this paper.,,No secondary sub-categories are relevant as the paper is not related to Climate or Ecologically-Related Sustainable Development.,,
SOTIF Entropy: Online SOTIF Risk Quantification and Mitigation for Autonomous Driving,N/A,N/A,N/A,N/A,2211.04009
"The paper presents a Self-Surveillance and Self-Adaption System that aims to minimize Safety of the Intended Functionality (SOTIF) risks in autonomous driving. It involves monitoring, quantifying, and mitigating both inherent and external risks by using the entropy of perception algorithms like YOLOv5. Various experiments, including Hardware-in-the-Loop experiments, are conducted to verify the efficiency and effectiveness of the system in real-time traffic environments.",The paper does not focus on any aspect of climate or ecological-related sustainable development categories. It is centered around autonomous driving safety performance.,,There is no relevant sub-category aligning with the content of this paper as per the predefined sustainable development categories.,,
,,N/A,,N/A,
,,,,,
"Singularity: Planet-Scale, Preemptive and Elastic Scheduling of AI Workloads",N/A,N/A,N/A,N/A,2202.07848
"The paper discusses Singularity, a globally distributed scheduling service developed by Microsoft for optimizing AI workload execution. It introduces novel mechanisms that allow deep learning workloads to be preempted and resized dynamically, improving utilization and reliability across a global fleet of AI accelerators. These mechanisms enable transparent checkpointing, preemption, and elasticity without the need for user code modifications, aiming to drive down AI costs by maximizing throughput and minimizing idle resources.",The paper centers around AI workload scheduling efficiency and does not primarily target Climate or Ecologically-Related Sustainable Development.,,"The sub-categories provided do not address AI scheduling optimization, which is the main theme of the paper.",,
,N/A,N/A,N/A,N/A,
,"No aspect of the paper discusses Climate or Ecologically-Related Sustainable Development themes such as renewable energy, pollution reduction, or ecosystem protection.",,"The sub-categories related to environmental sustainability are not applicable to this study, which focuses on computational efficiency in AI workloads.",,
Statistical Detection of Adversarial examples in Blockchain-based Federated Forest In-vehicle Network Intrusion Detection Systems,N/A,N/A,N/A,N/A,2207.04843
"This paper investigates the impact of adversarial examples on Blockchain-based Federated Forest In-vehicle Network Intrusion Detection Systems (BFF-IDS) and proposes the integration of a statistical detector to detect and manage these adversarial examples. By doing so, it aims to enhance the security framework to guard against adversarial attacks on such systems.","While the paper discusses technologies like blockchain and machine learning within the context of vehicle networks, it is primarily focused on security and does not have a central theme related to climate or ecology.",,The paper does not fit into any specific sub-category as its main focus is on improving the cybersecurity of vehicular networks against adversarial machine learning threats.,,
,N/A,N/A,N/A,N/A,
,There are no secondary themes related to climate or ecologically-related sustainable development _  the focus is entirely on network security.,,The study does not touch upon any secondary sub-categories linked to climate or ecologically-related sustainable development.,,
Towards the Neuroevolution of Low-Level Artificial General Intelligence,N/A,N/A,N/A,N/A,2207.13583
"This paper explores the development of Artificial General Intelligence (AGI) from a low-level perspective, relying on neuroevolution techniques. The framework, named Neuroevolution of Artificial General Intelligence (NAGI), is utilized to evolve biologically-inspired spiking neural networks with adaptive synapses. These networks control agents in mutable environments to benchmark adaptability and generality. The paper evaluates NAGI on tasks like food foraging, logic gate emulation, and cart-pole balancing.","The paper does not address any specific climate change mitigation, adaptation, or ecological protection issues. It is focused on AGI development.",,"There are no mentions of sub-categories related to climate or ecological sustainability, as the focus is on AGI.",,
,N/A,N/A,N/A,N/A,
,No secondary climate-related topics are discussed _  the paper is dedicated exclusively to AGI and neuroevolution processes.,,The paper does not explore any sub-categories relevant to climate-related themes _  it is centered on AI and neural network evolution.,,
Type theory in human-like learning and inference,N/A,N/A,N/A,N/A,2210.01634
"This paper explores the application of type theory in cognitive science and artificial intelligence, especially in understanding human-like learning and inference. Sosa and Ullman propose that a core component of reasoning systems is type theory, which imposes a formal structure on the computations an agent can perform. This imposition of structure helps in generating reasonable answers to novel queries, understanding improbability versus impossibility, and reasoning across varying levels of abstraction. The paper reviews empirical studies and proposes a revised model emphasizing the role of types in cognitive and program synthesis processes.","The focus of the paper is on cognitive processes and type theory in AI, with no relevance to climate or ecological sustainability categories.",,"The sub-categories defined are specific to climate and ecological issues, and this paper does not address these areas at all.",,
,N/A,N/A,N/A,N/A,
,There are no secondary themes related to climate or ecological sustainable development in this paper.,,There are no secondary sub-categories relevant to climate or ecological issues within this paper.,,
VarMAE: Pre-training of Variational Masked Autoencoder for Domain-adaptive Language Understanding,N/A,N/A,N/A,N/A,2211.00430
"The paper introduces VarMAE, a novel Transformer-based language model designed to address the challenges faced by pre-trained language models in domain-adaptive language understanding. The VarMAE is equipped with a context uncertainty learning module aimed at improving contextual representations when pre-trained on a limited corpus. Experimental results on science and finance-domain NLU tasks demonstrate VarMAE's efficiency in adapting to new domains with constrained resources.",The paper primarily deals with improving language models for domain adaptation and does not directly link to any climate or ecologically-related themes or categories.,,"The sub-categories listed under climate or ecological themes do not apply to this paper, as it is focused on language model pre-training and domain adaptation.",,
,N/A,N/A,N/A,N/A,
,"Given the focus on language models and domain adaptation without direct relevance to ecological or climate considerations, there are no secondary climate-related categories applicable.",,There are no applicable secondary sub-categories as the paper does not focus on any areas related to climate or ecological sustainable development.,,
Video Intelligence as a component of a Global Security system,N/A,N/A,N/A,N/A,2201.04349
"This paper explores the integration of video analytics into a comprehensive global security system, emphasizing the role of video surveillance in urban environments. It discusses the hybrid use of machine learning and knowledge management to enhance video intelligence, enabling real-time event monitoring and predictive capabilities. The research also delves into using human-machine synergy and shared ontological frameworks to improve situational awareness and security operations.","The main focus of the paper is on enhancing global security using video intelligence and machine learning, which does not directly relate to any climate or ecologically-related sustainable development category.",,"Since the primary category is not applicable, the sub-category also remains outside the realm of climate or ecologically-related sustainable development.",,
,N/A,N/A,N/A,N/A,
,There are no secondary categories relevant to climate or ecologically related sustainable development within the focus of the paper.,,The paper does not cover any specific sub-categories relevant to climate or ecologically related sustainable development.,,
You Only Live Once: Single-Life Reinforcement Learning,N/A,N/A,N/A,N/A,2210.08863
"This paper introduces and formalizes a new problem setting called Single-Life Reinforcement Learning (SLRL), where an agent must successfully complete a task within a single trial by leveraging prior experience and adapting to novel situations autonomously. The paper proposes a distribution matching strategy, Q-weighted adversarial learning (Q WALE), to improve the agent's performance in SLRL compared to traditional reinforcement learning methods. The authors provide experimental results showing the effectiveness of Q WALE in various single-life continuous control problems.","The paper focuses on a new reinforcement learning algorithm and does not directly tackle themes related to ecological or climate-related sustainable development. Although it uses disaster relief as a scenario, this serves more as an illustration rather than a central theme related to sustainability.",,No specific ecological or climate-related sub-category is directly applicable to this paper. The focus is on machine learning and reinforcement learning challenges rather than environmental or sustainable development concerns.,,
,N/A,N/A,N/A,N/A,
,The paper does not address secondary Climate or Ecologically-Related Sustainable Development themes as its main focus is on reinforcement learning algorithm development.,,The paper is not focused on specific sub-categories related to ecological or climate concerns. It primarily deals with reinforcement learning methodology.,,
Jalisco’s Multiclass Land Cover Analysis and Classification Using a Novel Lightweight ConvNet with Real-World Multispectral and Relief Data,Natural Systems Protection,Natural Systems Protection,Biodiversity,Forest Management,2201.10985
"The paper presents a novel lightweight convolutional neural network (ConvNet) designed to classify and analyze land cover (LC) in the Jalisco region. It addresses challenges specific to regional data, including large class numbers, diverse climates, and imbalanced datasets, by utilizing 13 channels of real-world open data. The model demonstrated accuracy improvement in LC classification, which aids policy makers in land management, aligning with SDG 15 for 'Life on Land'.","The primary focus is on land cover classification and analysis, supporting conservation efforts and ecosystem services monitoring, which fits under Natural Systems Protection.",,Monitoring land use and land cover changes aligns with biodiversity and ecosystem change monitoring as it informs on environmental conditions affecting habitats.,"The biodiversity is not mentioned in the paper. ""Our research possibly supports the decision-makers providing evidence, for example, of deforestation or forest degradation."". The forests are mentioned 49 times. It's even more regarding the lands",
,Climate Change Adaptation,Climate Change Adaptation,Climate Risks Modeling,N/A,
,"The work supports informed policymaking for agriculture resilience and land management, which contributes to adaptation measures.",""" [...] the regional data provide the context-specificity that is required for policymakers to plan the land use and management""",The information derived from land cover monitoring can be pivotal for assessing climate risks and impacts on the ecosystem.,"Despite the fact that it might be true, it is not mentioned in the paper.",
,Climate Science,N/A,Energy Efficiency in Buildings,N/A,
,"The classification and analysis of land cover contribute to understanding and monitoring climate systems, particularly changes in ecosystems.","Despite the fact that it might be true, it is not mentioned in the paper.","While not a core focus, intelligent land use and cover information can guide infrastructure development that optimizes space and resources, indirectly touching on energy efficiencies.","Despite the fact that it might be true, it is not mentioned in the paper.",
LANTERN-RD: Enabling Deep Learning for Mitigation of the Invasive Spotted Lanternfly,Natural Systems Protection,Natural Systems Protection,Biodiversity,Biodiversity,2205.06397
"The paper presents LANTERN-RD, the first curated image dataset of the invasive spotted lanternfly and visually similar insects. It enables computer vision research aimed at mitigating the SLF's impact, which threatens local biodiversity and agricultural economies in places like the Northeastern United States and Japan. The dataset, alongside a baseline convolutional neural network (CNN) and a mobile classification application, empowers rapid identification and responsible public mitigation efforts.",The primary focus of the paper is on mitigating an invasive species that threatens local ecosystems and biodiversity.,,The paper addresses the issue of biodiversity by focusing on the control of an invasive species that poses a threat to local ecosystems.,,
,Climate Change Mitigation,Climate Change Mitigation,Agriculture,Agriculture,
,"By mitigating the impact of an invasive species using technology, it indirectly contributes to preserving agricultural productivity, which is linked to climate change mitigation.",,"The spotted lanternfly affects agricultural economies, and the research paper addresses its mitigation to protect these industries.",,
MonarchNet: Differentiating Monarch Butterflies from Butterflies Species with Similar Phenotypes,Natural Systems Protection,Natural Systems Protection,Biodiversity,Biodiversity,2201.10526
"The paper presents MonarchNet, a deep-learning-based system designed to differentiate monarch butterflies from other visually similar butterfly species. This system is key to improving the monitoring and tracking of monarch butterfly populations and migrations, which are threatened by climate change and other environmental factors. The aim is to facilitate accurate butterfly identification to aid scientific research and conservation efforts.","The paper focuses on monarch butterflies, an essential part of ecosystems, and the accurate identification of these butterflies to monitor their populations and migrations, both of which relate to natural systems protection.",,"By differentiating species through deep learning, the study enhances understanding and monitoring of biodiversity, focusing on the important role butterflies play in ecosystems.",,
,Climate Change Adaptation,N/A,Climate Risks Modeling,N/A,
,"The impact of climate change on monarch butterfly migration is highlighted, and tracking these changes is part of adapting to such environmental shifts.","The authors insist on mitigation efforts. ""This is crucial to the monitoring of the decline of monarch butterflies and the assessment and mitigation of threats to populations. Our AI method is especially helpful for citizen scientists, who are vital to these efforts.""","Tracking trends in butterfly populations helps model the climate risks that are affecting them, such as shifts due to temperature changes or habitat loss.","Despite the fact that it might be true, it is not mentioned in the paper.",
,,,Climate Modeling and Predictions,N/A,
,,,Understanding and predicting patterns in butterfly migration as affected by climate-related changes fits within this sub-category.,"Despite the fact that it might be true, it is not mentioned in the paper.",
,,Climate Change Mitigation,,"Monitoring, Reporting and Verification",
The BLue Amazon Brain (BLAB): A Modular Architecture of Services about the Brazilian Maritime Territory,Natural Systems Protection,Natural Systems Protection,Ocean Protection,Ocean Protection,2209.07928
"This paper discusses the development of an artificial intelligence system called the BLue Amazon Brain (BLAB), which aims to integrate various services to disseminate information and raise environmental awareness about the Brazilian maritime territory, known as the Blue Amazon. The system includes NLP modules for conversational agents, news reporting, and a wiki, facilitating better understanding and management of oceanographic data and issues such as biodiversity, food supply, and climate regulation.","The paper's central theme revolves around raising awareness and managing information related to the marine ecosystem of the Blue Amazon, which involves protection of ocean systems.",,The paper aims to protect and raise awareness about the ocean through information dissemination services about the Blue Amazon.,,
,Climate Science,Climate Science,Climate Modeling and Predictions,Climate Modeling and Predictions,
,The paper briefly touches on the role of the Blue Amazon in climate regulation and its potential in predicting climate-related issues.,,"The paper's vision includes predicting climate-related issues using oceanographic data, a climate science application.",,
,Climate Change Adaptation,Climate Change Adaptation,,,
,"The dissemination of oceanographic information aids in adapting to climate changes, particularly in providing data for climate-related predictions.",,,,
,,,,Food Security,
,,Climate Change Mitigation,,,
Unfolding AIS transmission behavior for vessel movement modeling on noisy data leveraging machine learning,Natural Systems Protection,N/A,Ocean Protection,N/A,2202.13867
"The paper focuses on modeling AIS (Automatic Identification System) message transmission behavior for vessel movement forecasting using various deep learning models. It evaluates different algorithms, including neural networks, in predicting vessel routes while considering irregular temporal data and improving maritime navigation safety and awareness.","The primary focus is on tracking vessel trajectories in ocean environments, which aligns with protecting marine ecosystems and improving awareness regarding potential ecological impacts from maritime activities.","The authors don't focus on climate-related topics despite the fact their frame of research is about the oceans. ""[...] this paper aims to model the AIS message transmission behavior through neural networks for forecasting upcoming AIS messages’ content from multiple vessels, particularly in a simultaneous approachdespite messages’ temporal irregularities as outliers."". ",The research supports the operational management of oceans through improved tracking and predictive capabilities that can help in protecting oceanic environments from the adverse effects of shipping.,"The authors don't focus on climate-related topics despite the fact their frame of research is about the oceans. ""[...] this paper aims to model the AIS message transmission behavior through neural networks for forecasting upcoming AIS messages’ content from multiple vessels, particularly in a simultaneous approachdespite messages’ temporal irregularities as outliers."". ",
,Climate Science,N/A,Climate Modeling and Predictions,N/A,
,"The paper involves tracking and predicting movement patterns based on AIS data, contributing to the understanding and modeling of marine systems and their response to various environmental factors.","The authors don't focus on climate-related topics despite the fact their frame of research is about the oceans. ""[...] this paper aims to model the AIS message transmission behavior through neural networks for forecasting upcoming AIS messages’ content from multiple vessels, particularly in a simultaneous approachdespite messages’ temporal irregularities as outliers."". ",The role of predicting and modeling vessel movements ties into broader climate and ecological predictions in marine systems.,"The authors don't focus on climate-related topics despite the fact their frame of research is about the oceans. ""[...] this paper aims to model the AIS message transmission behavior through neural networks for forecasting upcoming AIS messages’ content from multiple vessels, particularly in a simultaneous approachdespite messages’ temporal irregularities as outliers."". ",
Deciphering Environmental Air Pollution with Large Scale City Data,Pollution,Pollution,Air Pollution,Air Pollution,2109.04572
"The paper presents a large-scale curated spatiotemporal dataset incorporating daily levels of various air pollutants and the major causal agents in over 50 U.S. cities for two years. It introduces a novel transformer-based model, cosSquareFormer, for pollutant level estimation and forecasting and provides a holistic analysis of the dataset. It aims to uncover relationships among pollutant levels and influencing factors. The dataset is intended to aid further research in urban air pollution.","The central theme of the paper is air pollution, which is a sub-set of the broader Pollution category.",,"The paper specifically addresses air pollution and various pollutants like PM2.5, NO2, O3, etc., and introduces methods for pollutant estimation and forecasting.",,
,N/A,N/A,N/A,N/A,
,The paper primarily focuses on air pollution without significant discussion or involvement in other sustainable development categories.,,The focus remains on air pollution without extending into other specific sub-categories.,,
Dynamic Price of Parking Service based on Deep Learning,Pollution,N/A,Air Pollution,N/A,2201.04188
"The paper proposes a dynamic pricing system for regulated parking services based on air quality predictions using deep learning. The goal is to discourage parking of motor vehicles when poor air quality episodes are predicted to improve urban air quality in Madrid, Spain. Several deep learning models, including CNN and LSTM, are evaluated for their effectiveness in predicting air quality alerts and adjusting parking prices accordingly.","The focus of the paper is on air pollution reduction by using a pricing mechanism for parking services based on predicted air quality levels. This aligns with pollution reduction efforts, specifically targeting air pollution.","The authors focus on health and don't mention climate-related topics. ""The improvement of air-quality in urban areas is one of the main concerns of public government bodies. This concern emerges from the evidence between the air quality and the public health.""",The paper aims to tackle air pollution in urban areas by discouraging vehicle use with dynamic pricing—a direct measure against air pollution.,"The authors focus on health and don't mention climate-related topics. ""The improvement of air-quality in urban areas is one of the main concerns of public government bodies. This concern emerges from the evidence between the air quality and the public health.""",
,Climate Change Mitigation,N/A,Transportation,N/A,
,"By utilizing technology to reduce reliance on personal vehicles, this paper indirectly supports climate change mitigation efforts through decreased emissions from vehicles.","The authors focus on health and don't mention climate-related topics. ""The improvement of air-quality in urban areas is one of the main concerns of public government bodies. This concern emerges from the evidence between the air quality and the public health.""","The paper explores the effects of parking regulations and pricing on traffic and vehicle usage, which are directly related to transportation issues.","The authors focus on health and don't mention climate-related topics. ""The improvement of air-quality in urban areas is one of the main concerns of public government bodies. This concern emerges from the evidence between the air quality and the public health.""",
Environmental and Social Sustainability of Creative-Ai,Pollution,Pollution,Air Pollution,N/A,2209.12879
"The paper investigates the sustainability and ethical aspects of using Creative-AI in artistic processes. It examines environmental sustainability in AI arts and ethical issues concerning power, authorship, and ownership in the creative process, using interdisciplinary approaches combining various research methods. The research aims to develop ethical guidelines and sustainable practices for integrating AI in art creation.","The paper mainly investigates the environmental impact of AI technologies used in Creative-AI practices, which falls under the Pollution category due to the focus on environmental impact and CO2 emissions.","Despite the fact that this category is not the best, the paper has to be classified in the climate-related topics. ""The two main focus areas are understanding the environmental sustainability aspects (material, practices) in the context of artistic processes that involve Creative-Ai [...]"".",The focus on quantifying the energy impact and CO2 emissions from AI technologies aligns with the Air Pollution sub-category.,,
,Sustainable Finance,N/A,Climate Finance (impact and thematic investments),N/A,
,"The paper discusses the use of emerging financial technologies like blockchain, cryptocurrencies, and NFTs in the context of AI art, highlighting the need for sustainable financial practices.","The authors focus on art, not on finance.",Addressing the sustainability of financial models and commercialization methods like NFTs and cryptocurrencies in AI arts points to the climate finance sub-category.,"The authors focus on art, not on finance.",
